st coed qnt ed
13578174310 LCU009 30 13578174422
13578174422 LFU009 30 13578174506
13578174506 LFU010 30 13578174549
13578174549 LFC001 30 13578174628
13578174628 LFC002 30 13578174707
13578174707 LFU011 30 13578174745
13578175312 NMF001 12 13578175627
13578175639 CHU002 10 13578175753
13578175804 BMF001 12 13578180020
13578180020 NMF001 08 13578180229
13579141015 NMF001 12 13579141331
13579141342 CHU002 10 13579141457
13579141508 BMF001 12 13579141723
13579141723 NMF001 08 13579141932
13580103528 NFT001 30 13580103642
13580103642 YFU002 30 13580103828
13580103828 UFU005 15 13580103942
13580103942 UFU006 15 13580104055
13580104055 YFU001 04 13580104207
13580104207 WFU007 30 13580104252
13580104252 WFU008 30 13580104337
13580135756 LFC005 30 13580135836
13580135836 LFC006 30 13580135916
13580135916 LFC008 30 13580135957
13580135957 LFC009 30 13580140038
13580140038 CFC001 30 13580140118
13580140118 BFC001 10 13580140159
13580140159 SHC001 10 13580140240
13584160911 LCU007 20 13584161046
13584161102 LCU007 20 13584161229
13584161245 LCU007 20 13584161412
13584161412 LFU003 30 13584161455
13584161455 LFU004 30 13584161537
13585093302 NFT001 30 13585093416
13585093416 YFU002 30 13585093602
13585093602 UFU005 15 13585093715
13585093715 UFU006 15 13585093829
13585093829 YFU001 04 13585093941
13585093941 WFU007 30 13585094026
13585094026 WFU008 30 13585094111
13585141455 NMF001 12 13585141811
13585141823 BHU002 10 13585141937
13585141948 BMF001 12 13585142204
13585142204 NMF001 08 13585142413
13586103151 NFT001 30 13586103305
13586103305 YFU002 30 13586103451
13586103451 UFU005 15 13586103604
13586103604 UFU006 15 13586103718
13586103718 YFU001 04 13586103831
13586103831 WFU007 30 13586103915
13586103915 WFU008 30 13586104000
13586142915 LCU007 20 13586143050
13586143106 LCU007 20 13586143233
13586143249 LCU007 20 13586143417
13586143417 LFU003 30 13586143459
13586143459 LFU004 30 13586143542
13589172134 NMF001 12 13589172449
13589172501 BHU002 10 13589172615
13589172626 BMF001 12 13589172842
13589172842 NMF001 08 13589173051
13589173939 LCU004 15 13589174053
13589174059 LCU004 15 13589174207
13589174213 LCU004 15 13589174320
13589174327 LFU003 30 13589174409
13589174409 LFU004 30 13589174451
13589175524 LCU007 20 13589175659
13589175715 LCU007 20 13589175842
13589175858 LCU007 20 13589180026
13589180026 LFU003 30 13589180108
13589180108 LFU004 30 13589180151
13589201602 CAU002 12 13589201726
13589201737 CAU002 12 13589201845
13589201856 CAU002 06 13589201933
13589203033 CAU002 10 13589203156
13589203207 CAU002 10 13589203315
13589203326 CAU002 05 13589203403
13589203454 CFU001 30 13589203536
13589203536 CFU002 30 13589203618
13589213953 NRC001 08 13589214035
13589214035 NRC002 08 13589214116
13589214116 NFC001 20 13589214149
13589214149 NFC002 20 13589214221
13589214221 NFC003 20 13589214251
13589214251 NFC004 20 13589214321
13589214321 NFC005 20 13589214351
13589214351 NFC006 20 13589214421
13589214421 CFC001 30 13589214502
13589215206 NFU001 30 13589215247
